NAME,COMP,MASS,R,RUPPER,RLOWER,UR,PER,ECC,DEC,RA,DIST,PLANETDISCMETH,STAR,MSTAR,RSTAR,TEFF,DATE,MULT
,,mjupiter,rjupiter,rjupiter,rjupiter,rjupiter,day,,deg,hr,pc,,,msun,rsun,k,,
Kepler-256 d,d,0.0194307,0.221251,0.0562048,0.0562048,0.0562048,5.839172,,46.09738889,19.50536111,,Transit,Kepler-256,,1.301,5551,2014,1
Kepler-187 b,b,0.00960182,0.125792,0.0249799,0.0249799,0.0249799,4.938864,,44.08931111,19.98643056,,Transit,Kepler-187,,1.287,6105,2014,1
HD 4732 b,b,2.37727,,,,,360.2,0.13,-24.13652778,0.820527778,57.9039,RV,HD 4732,1.74,5.55146,4959,2013,1
Kepler-374 d,d,0.00749504,0.11687,0.0624498,0.0624498,0.0624498,5.028219,,42.3705,19.60918889,,Transit,Kepler-374,,0.911,5977,2014,1
Kepler-383 c,c,0.00621274,0.110625,0.0437149,0.0437149,0.0437149,31.200751,,38.36313056,19.42283889,,Transit,Kepler-383,,0.672,4710,2014,1
Kepler-295 b,b,0.00587447,0.108841,0.057097,0.057097,0.057097,12.645164,,45.36778056,19.02306111,,Transit,Kepler-295,,0.898,5603,2014,1
Kepler-171 d,d,0.0139171,0.168615,0.0802926,0.0802926,0.0802926,39.595519,,41.75553889,19.78478889,,Transit,Kepler-171,,0.839,5642,2014,1
Kepler-304 e,e,0.00553813,0.107,0.00069,0.00731,0.004,1.49914695,0,40.55758333,19.62945,0,Transit,Kepler-304,0.8,0.69,4731,2016,1
Kepler-287 b,b,0.0177874,0.207869,0.0945669,0.0945669,0.0945669,20.342199,,48.44355,19.39516111,,Transit,Kepler-287,,1.032,5806,2014,1
Kepler-1065 b,b,0.0434306,0.333,0.0006,0.0884,0.0445,3.60930891,0,38.7905,19.63408333,1078,Transit,Kepler-1065,0.94,0.93,5635,2016,1
Kepler-213 c,c,0.0178911,0.208761,0.0401463,0.0401463,0.0401463,4.822962,,44.64718056,19.38828056,,Transit,Kepler-213,,1.195,5696,2014,1
Kepler-268 b,b,0.0202659,0.227496,0.0419306,0.0419306,0.0419306,25.934138,,38.05508056,19.46508056,,Transit,Kepler-268,,1.274,6081,2014,1
Kepler-430 b,b,0.0330424,0.296,,,,35.968,,49.57916667,19.52058,,Transit,Kepler-430,1.166,1.485,5884,2010,1
Kepler-204 b,b,0.0200225,0.225711,0.0481756,0.0481756,0.0481756,14.400974,,41.76191944,19.02315,,Transit,Kepler-204,,1.238,5812,2014,1
Kepler-149 c,c,0.0119837,0.143635,0.0214114,0.0214114,0.0214114,55.328328,,38.38411944,19.05691111,,Transit,Kepler-149,,0.953,5381,2014,1
Kepler-1371 b,b,0.000951027,0.065,0.00057,0.01043,0.0055,3.4462039,0,47.552,19.255425,450,Transit,Kepler-1371,0.87,0.83,5361,2016,1
Kepler-397 b,b,0.0192003,0.219467,1.90204,1.90204,1.90204,22.250949,,42.38045,19.72626944,,Transit,Kepler-397,,0.767,5307,2014,1
Kepler-129 c,c,0.0202659,0.227496,0.0089214,0.0089214,0.0089214,82.20017,,47.84856111,19.02075,,Transit,Kepler-129,,1.641,5770,2014,1
Kepler-398 c,c,0.00302153,0.0901062,0.00981354,0.00981354,0.00981354,11.419412,,40.34385,19.43123889,,Transit,Kepler-398,,0.613,4493,2014,1
Kepler-211 b,b,0.00656354,0.11241,0.00802926,0.00802926,0.00802926,4.138575,,43.16848056,19.02928056,,Transit,Kepler-211,,0.816,5123,2014,1
Kepler-242 b,b,0.0210192,0.232849,0.142742,0.142742,0.142742,8.20395,,41.8084,19.10438056,,Transit,Kepler-242,,0.85,5020,2014,1
Kepler-389 b,b,0.0120453,0.134713,0.0686948,0.0686948,0.0686948,3.244107,,44.90001944,19.464,,Transit,Kepler-389,,0.792,5376,2014,1
PSR B1257+12 A,A,6.29267E-05,,,,,25.262,0,12.68233333,13.00099361,,Timing,PSR B1257+12,,,,1992,1
BD -08 2823 c,c,0.328101,,,,,237.6,0.19,-9.516741667,10.01331667,42.4989,RV,BD -08 2823,0.74,1.27853,4746,2010,1
Kepler-194 b,b,0.0120453,0.134713,0.0704791,0.0704791,0.0704791,2.092281,,47.86416944,19.46476111,,Transit,Kepler-194,,1.025,6089,2014,1
HD 33844 c,c,1.76867,,,,,916,0.13,-14.95118611,5.210022223,100.9,RV,HD 33844,1.78,5.29,4861,2016,1
Kepler-221 d,d,0.022635,0.243554,0.0223035,0.0223035,0.0223035,10.04156,,46.83526944,19.77698056,,Transit,Kepler-221,,0.821,5243,2014,1
Kepler-338 d,d,0.0268614,0.267642,0.0249799,0.0249799,0.0249799,44.431014,,40.78435,18.86526111,,Transit,Kepler-338,,1.735,5923,2014,1
Kepler-32 e,e,0.0117511,0.133702,0.00891345,0.00891345,0.00891345,2.896,,46.57425,19.85616028,303,Transit,Kepler-32,0.54,0.53,3793,2011,1
Kepler-146 b,b,0.0427893,0.330984,0.0624498,0.0624498,0.0624498,31.158799,,38.71023056,19.60738056,,Transit,Kepler-146,,1.208,5948,2014,1
Kepler-11 f,f,0.00723031,0.221888,0.00356446,0.0062378,0.00490113,46.6888,0.013,41.90911111,19.80767278,,Transit,Kepler-11,0.961,1.065,5663,2011,1
BD +20 2457 b,b,11.8883,,,,,379.63,0.15,19.89136111,10.27912861,200,RV,BD +20 2457,1.06,32.9639,4259,2009,1
Kepler-176 c,c,0.0208911,0.231956,0.118655,0.118655,0.118655,12.759712,,43.85326111,19.64453056,,Transit,Kepler-176,,0.891,5232,2014,1
mu Ara d,d,0.0345873,,,,,9.6386,0.172,-51.83358889,17.73575556,15.5111,RV,mu Ara,1.147,1.25035,5784.28,2004,1
KIC 11442793 d,d,0.0247111,0.256,0.027,0.027,0.027,56.73667,,49.30513889,18.96223278,780,Transit,KIC 11442793,1.2,1.2,6080,2013,1
Kepler-251 b,b,0.00789025,0.118655,0.0214114,0.0214114,0.0214114,4.790936,,44.10586111,19.77108056,,Transit,Kepler-251,,0.89,5526,2014,1
HD 169830 b,b,2.88946,,,,,225.62,0.31,-29.81690278,18.46374444,36.6032,RV,HD 169830,1.407,1.80318,6221.43,2001,1
Kepler-292 c,c,0.0110268,0.131145,0.0133821,0.0133821,0.0133821,3.715335,,42.42428056,19.71773889,,Transit,Kepler-292,,0.826,5299,2014,1
Kepler-324 b,b,0.00464108,0.101704,0.00981354,0.00981354,0.00981354,4.385315,,49.64901944,19.0981,,Transit,Kepler-324,,0.84,5194,2014,1
Kepler-250 c,c,0.0172808,0.203408,0.11687,0.11687,0.11687,7.156804,,44.14195,19.30631944,,Transit,Kepler-250,,0.805,5160,2014,1
HD 202206 c,c,2.33098,,,,,1383.4,0.267,-20.78891944,21.24938611,45.3309,RV,HD 202206,1.074,0.985786,5787.84,2005,1
Kepler-309 b,b,0.0116666,0.139174,0.01249,0.01249,0.01249,5.923653,,46.96126111,19.83398889,,Transit,Kepler-309,,0.721,4713,2014,1
Kepler-261 c,c,0.0147725,0.178428,0.01249,0.01249,0.01249,24.570858,,37.60916944,19.42431944,,Transit,Kepler-261,,0.794,5098,2014,1
Kepler-336 c,c,0.0156092,0.187349,0.0330092,0.0330092,0.0330092,9.600001,,41.33138056,19.34918056,,Transit,Kepler-336,,1.304,5867,2014,1
Kepler-365 b,b,0.0151,0.181997,0.0865376,0.0865376,0.0865376,10.664903,,49.13043056,19.70843889,,Transit,Kepler-365,,1.048,6012,2014,1
HD 12661 c,c,1.9487,,,,,1707.8812,0.0312556,25.41473056,2.076211111,34.9528,RV,HD 12661,1.136,1.06782,5742.75,2003,1
Kepler-229 d,d,0.0469127,0.343474,0.123115,0.123115,0.123115,41.194912,,48.37578889,19.1333,,Transit,Kepler-229,,0.728,5120,2014,1
KIC 11442793 c,c,0.0053608,0.106,0.012,0.012,0.012,8.719375,,49.30513889,18.96223278,780,Transit,KIC 11442793,1.2,1.2,6080,2013,1
HD 69830 d,d,0.0563373,,,,,197,0.07,-12.62976944,8.306605556,12.4938,RV,HD 69830,0.849,0.921634,5360,2006,1
Kepler-132 c,c,0.00692663,0.114194,0.0223035,0.0223035,0.0223035,6.414914,,41.34303889,18.88238889,,Transit,Kepler-132,,1.178,6003,2014,1
Kepler-322 b,b,0.00302153,0.0901062,0.00981354,0.00981354,0.00981354,1.653888,,44.29523889,18.75658889,,Transit,Kepler-322,,0.89,5388,2014,1
Kepler-51 b,b,0.00661,0.628398,,,,45.1555023,,49.93766667,19.76531833,,Transit,Kepler-51,1,0.91,5803,2011,1
Kepler-252 b,b,0.00604207,0.109733,0.0107057,0.0107057,0.0107057,6.668391,,44.54596111,19.70528889,,Transit,Kepler-252,,0.549,4208,2014,1
Kepler-33 d,d,0.095206,0.477,0.044,0.044,0.044,21.77596,0,46.00519444,19.27183667,,Transit,Kepler-33,1.291,1.82,5904,2011,1
Kepler-287 c,c,0.0318107,0.290838,0.132929,0.132929,0.132929,44.851896,,48.44355,19.39516111,,Transit,Kepler-287,,1.032,5806,2014,1
Kepler-154 f,f,0.0118373,0.134,0.00295,0.04605,0.0245,9.91935684,0,49.89652778,19.31870278,0,Transit,Kepler-154,0.89,1,5690,2016,1
Kepler-245 b,b,0.0205131,0.22928,0.0160585,0.0160585,0.0160585,7.49019,,42.43631944,19.4426,,Transit,Kepler-245,,0.795,5100,2014,1
Kepler-100 c,c,0,0.196271,0.0044607,0.0044607,0.0044607,12.8159,0,41.99025,19.42573222,,Transit,Kepler-100,1.08,1.49,5825,2014,1
Kepler-180 c,c,0.027035,0.268534,0.119547,0.119547,0.119547,41.885775,,49.77458056,19.70476111,,Transit,Kepler-180,,1.063,5731,2014,1
Kepler-82 e,e,0.019315,0.220359,0.0330092,0.0330092,0.0330092,5.902206,,42.96613889,19.52488889,,Transit,Kepler-82,,0.945,5428,2014,1
Kepler-20 d,d,0.0236865,0.24512,0.0151529,0.0267403,0.0209466,77.61184,0,42.33869444,19.17986778,290,Transit,Kepler-20,0.912,0.944,5466,2011,1
Kepler-217 b,b,0.0167934,0.198947,0.0285485,0.0285485,0.0285485,5.374943,,46.27751944,19.53585,,Transit,Kepler-217,,1.799,6171,2014,1
Kepler-235 e,e,0.0166981,0.198055,0.0258721,0.0258721,0.0258721,46.183669,,39.27831944,19.07193889,,Transit,Kepler-235,,0.554,4255,2014,1
Kepler-227 c,c,0.0275635,0.271211,0.136497,0.136497,0.136497,54.418694,,48.14165,19.46228056,,Transit,Kepler-227,,1.091,5854,2014,1
Kepler-169 d,d,0.00638668,0.111518,0.00802926,0.00802926,0.00802926,8.348125,,40.91931944,19.06666111,,Transit,Kepler-169,,0.763,4997,2014,1
Kepler-254 b,b,0.0475314,0.345258,0.165046,0.165046,0.165046,5.826662,,45.81651111,19.21098056,,Transit,Kepler-254,,0.91,5957,2014,1
Kepler-79 e,e,0.0129,0.318,0.0128,0.0128,0.0128,81.065298,0.012,44.38158056,20.03448056,,Transit,Kepler-79,,1.403,6189,2014,1
Kepler-241 b,b,0.0177874,0.207869,0.0918904,0.0918904,0.0918904,12.718092,,41.06091944,19.52753889,,Transit,Kepler-241,,0.668,4699,2014,1
55 Cnc b,b,0.801471,,,,,14.651,0.004,28.33138889,8.876702778,12.3411,RV,55 Cnc,0.905,0.943,5196,1997,1
Kepler-176 e,e,0.010441,0.129,0.00042,0.02358,0.012,51.16579,0,43.85325,19.64453056,0,Transit,Kepler-176,0,0.89,5232,2016,1
Kepler-380 c,c,0.00674351,0.113302,0.0249799,0.0249799,0.0249799,7.630004,,48.75913889,18.82631111,,Transit,Kepler-380,,1.224,6045,2014,1
Kepler-384 b,b,0.00436179,0.0999197,0.0285485,0.0285485,0.0285485,22.597053,,44.78286944,19.06841111,,Transit,Kepler-384,,0.882,5577,2014,1
Kepler-193 c,c,0.0229193,0.245339,0.110625,0.110625,0.110625,50.697494,,46.57723889,19.76656944,,Transit,Kepler-193,,1.147,6335,2014,1
Kepler-368 c,c,0.0478436,0.34615,0.0963511,0.0963511,0.0963511,72.379334,,45.38793056,19.45866944,,Transit,Kepler-368,,2.019,5502,2014,1
Kepler-102 f,f,0.00195073,0.0785013,0.0026762,0.0026762,0.0026762,27.4536,0,47.20777778,18.7655,,Transit,Kepler-102,0.8,0.74,4903,2014,1
Kepler-131 c,c,0.0525494,0.0749398,0.00624498,0.00624498,0.00624498,25.5169,0,40.94227778,19.23538944,,Transit,Kepler-131,1.02,1.03,5685,2014,1
HD 207832 b,b,0.564176,,,,,161.97,0.13,-26.02621111,21.87672222,54.4366,RV,HD 207832,0.94,0.901,5710,2012,1
Kepler-280 b,b,0.010538,0.12936,0.0624498,0.0624498,0.0624498,2.139542,,42.18058889,19.42603056,,Transit,Kepler-280,,0.886,5744,2014,1
Kepler-325 c,c,0.0201438,0.226604,0.11241,0.11241,0.11241,12.762172,,49.82563056,19.32236111,,Transit,Kepler-325,,1.003,5752,2014,1
GJ 3293 b,b,0.081,,,,,30.6,0.07,-25.16888889,4.476588889,,RV,GJ 3293,0.42,0.404,3466,2015,1
HD 10180 e,e,0.0797893,,,,,49.747,0.065,-60.51154167,1.631552778,39.0168,RV,HD 10180,1.06,1.10851,5911,2011,1
Kepler-1016 c,c,0.0418568,0.328,0.00091,0.09009,0.0455,105.6551369,0,45.98461111,19.64090833,1239,Transit,Kepler-1016,0.99,1,5821,2016,1
Kepler-185 b,b,0.00508144,0.10438,0.0597734,0.0597734,0.0597734,1.6329,,43.88991111,18.83121111,,Transit,Kepler-185,,0.806,5208,2014,1
55 Cnc d,d,3.54451,,,,,4909,0.02,28.33138889,8.876702778,12.3411,RV,55 Cnc,0.905,0.943,5196,2002,1
Kepler-172 d,d,0.0169862,0.200732,0.0356856,0.0356856,0.0356856,14.627119,,41.82186111,18.89123056,,Transit,Kepler-172,,1.085,5526,2014,1
Kepler-967 c,c,0.0412428,0.326,0.00108,0.02392,0.0125,198.7112502,0,38.40536111,19.10387222,499,Transit,Kepler-967,0.84,0.8,5178,2016,1
Kepler-182 c,c,0.0355742,0.306004,0.136497,0.136497,0.136497,20.684342,,50.58623889,19.32201111,,Transit,Kepler-182,,1.146,6250,2014,1
Kepler-1016 b,b,0.0162741,0.194,0.00023,0.05777,0.029,1.95452434,0,45.98461111,19.64090833,1239,Transit,Kepler-1016,0.99,1,5821,2016,1
Kepler-1047 b,b,0.0154788,0.186,0.00061,0.03739,0.019,56.1886887,0,50.78897222,19.24308333,566,Transit,Kepler-1047,1.08,1.13,5754,2016,1
Kepler-49 e,e,0.0116666,0.139174,0.00713712,0.00713712,0.00713712,18.596108,,40.59178889,19.48631111,,Transit,Kepler-49,,0.559,4252,2014,1
Kepler-399 c,c,0.0100631,0.127576,0.0686948,0.0686948,0.0686948,26.67569,,40.6708,19.96678056,,Transit,Kepler-399,,0.68,5502,2014,1
Kepler-175 c,c,0.0286557,0.276563,0.139174,0.139174,0.139174,34.035257,,43.87618056,19.30355,,Transit,Kepler-175,,1.01,6064,2014,1
Kepler-391 c,c,0.0382517,0.315818,0.0767241,0.0767241,0.0767241,20.485435,,51.0573,19.37478889,,Transit,Kepler-391,,3.569,4940,2014,1
HD 73526 b,b,2.8556,,,,,188.3,0.19,-41.31949444,8.621258334,100.705,RV,HD 73526,1.014,1.45542,5583.74,2003,1
Kepler-200 b,b,0.0158724,0.190026,0.0365777,0.0365777,0.0365777,8.594805,,41.23746111,18.96066111,,Transit,Kepler-200,,0.944,5678,2014,1
Kepler-1129 c,c,0.0227057,0.244,0.00092,0.06408,0.0325,76.5369586,0,41.30936111,19.4403,1258,Transit,Kepler-1129,1,1,5831,2016,1
Kepler-122 d,d,0.0165098,0.196271,0.0392542,0.0392542,0.0392542,21.587475,,39.94911111,19.40746111,,Transit,Kepler-122,,1.216,6050,2014,1
Kepler-769 b,b,0.0256089,0.261,0.00243,0.15457,0.0785,7.42608998,0,38.35822222,19.51420556,1362,Transit,Kepler-769,1.19,1.28,6186,2016,1
Kepler-342 e,e,0.00189081,0.079,0.0002,0.0118,0.006,1.64422461,0,46.72672222,19.51187222,0,Transit,Kepler-342,1.13,1.47,6175,2016,1
Kepler-18 b,b,0.022,0.17843,0.00892,0.00892,0.00892,3.504725,0,44.74636111,19.87196306,,Transit,Kepler-18,0.972,1.108,5383,2011,1
Kepler-388 c,c,0.00170474,0.0767241,0.00981354,0.00981354,0.00981354,13.297004,,44.60873056,18.98853889,,Transit,Kepler-388,,0.586,4498,2014,1
Kepler-246 c,c,0.0117855,0.133821,0.0678027,0.0678027,0.0678027,11.187161,,42.66343056,19.76556111,,Transit,Kepler-246,,0.831,5206,2014,1
Kepler-240 b,b,0.00871939,0.122223,0.0499599,0.0499599,0.0499599,4.144495,,40.75026944,19.41058056,,Transit,Kepler-240,,0.739,4985,2014,1
Kepler-26 c,c,0.0397121,0.320884,,,,17.25204,0,46.56652778,18.99606639,,Transit,Kepler-26,0.65,0.59,3933,2011,1
Kepler-143 c,c,0.0341953,0.300651,0.0749398,0.0749398,0.0749398,27.082511,,49.4126,19.87118056,,Transit,Kepler-143,,1.359,5848,2014,1
Kepler-206 b,b,0.00554835,0.107057,0.0214114,0.0214114,0.0214114,7.781987,,41.83386111,19.44231111,,Transit,Kepler-206,,1.185,5764,2014,1
Kepler-68 c,c,0.015142,0.0849452,0.00329798,0.00374364,0.00352081,9.605085,0,49.04025,19.40215667,135,Transit,Kepler-68,1.079,1.243,5793,2013,1
Kepler-300 b,b,0.0123736,0.148987,0.0678027,0.0678027,0.0678027,10.446347,,48.59971944,19.68591111,,Transit,Kepler-300,,0.9,5986,2014,1
Kepler-937 b,b,0.0431113,0.332,0.00074,0.15726,0.079,67.668827,0,46.71461111,19.61125278,1482,Transit,Kepler-937,1.15,1.22,6095,2016,1
Kepler-110 c,c,0.0166036,0.197163,0.0392542,0.0392542,0.0392542,31.719775,,48.60281111,19.52861111,,Transit,Kepler-110,,1.149,5960,2014,1
Kepler-42 d,d,0.000404706,0.0508067,0.0160442,0.0160442,0.0160442,1.865169,,44.61933333,19.48126556,38.7,Transit,Kepler-42,0.13,0.17,3068,2011,1
Kepler-357 d,d,0.0355742,0.306004,0.181997,0.181997,0.181997,49.499875,,44.00871944,19.41621111,,Transit,Kepler-357,,0.834,5036,2014,1
HD 155358 b,b,0.819484,,,,,194.3,0.17,33.35638056,17.15965833,44.1112,RV,HD 155358,0.87,1.49875,5760,2007,1
Kepler-134 b,b,0.0147725,0.178428,0.0347935,0.0347935,0.0347935,5.317429,,49.5984,18.9826,,Transit,Kepler-134,,1.176,5983,2014,1
Kepler-369 b,b,0.00450004,0.100812,0.00535284,0.00535284,0.00535284,2.732756,,47.90846111,19.57828056,,Transit,Kepler-369,,0.471,3591,2014,1
HD 192310 b,b,0.0531258,,,,,74.72,0.13,-27.03253611,20.25460556,8.82379,RV,HD 192310,0.8,0.847025,5166,2011,1
Kepler-257 d,d,0.0812259,0.441609,0.221251,0.221251,0.221251,24.664551,,46.02326111,19.82106944,,Transit,Kepler-257,,1.037,5180,2014,1
Kepler-342 b,b,0.0169862,0.200732,0.0356856,0.0356856,0.0356856,15.170318,,46.72671111,19.51186944,,Transit,Kepler-342,,1.472,6175,2014,1
Kepler-119 b,b,0.0397965,0.321171,0.122223,0.122223,0.122223,2.422082,,42.65891944,19.72976111,,Transit,Kepler-119,,0.839,5595,2014,1
Kepler-190 b,b,0.0116666,0.139174,0.00981354,0.00981354,0.00981354,2.019999,,44.7338,19.23893889,,Transit,Kepler-190,,0.795,5106,2014,1
upsilon And b,b,0.669277,,,,,4.6171363,0.013,41.40638611,1.613327778,13.4916,RV,upsilon And,1.31,1.383,6212.65,1997,1
Kepler-56 c,c,0.196739,0.699706,,,,21.4050484,,41.87186111,19.58389,,Transit,Kepler-56,1.37,3.14,4931,2011,1
Kepler-237 b,b,0.00960182,0.125792,0.0669105,0.0669105,0.0669105,4.715106,,40.42183056,18.88143056,,Transit,Kepler-237,,0.725,4861,2014,1
Kepler-132 e,e,0.00518721,0.105,0.00045,0.02455,0.0125,110.2869374,0,41.34302778,18.88238611,0,Transit,Kepler-132,0,1.18,6003,2016,1
Kepler-223 e,e,0.0185304,0.214114,0.0927826,0.0927826,0.0927826,19.721734,,47.27948889,19.88788889,,Transit,Kepler-223,,1.017,5829,2014,1
Kepler-81 d,d,0.0057099,0.107949,0.0240878,0.0240878,0.0240878,20.837846,,42.82496944,19.5758,,Transit,Kepler-81,,0.595,4500,2014,1
Kepler-68 d,d,0.80971,,,,,580,0.18,49.04025,19.40215667,135,RV,Kepler-68,1.079,1.243,5793,2013,1
Kepler-403 c,c,0.0129124,0.156125,0.0285485,0.0285485,0.0285485,54.280749,,46.74456111,19.3281,,Transit,Kepler-403,,1.329,6090,2014,1
Kepler-197 d,d,0.00587447,0.108841,0.0089214,0.0089214,0.0089214,15.677563,,50.55898056,19.68176111,,Transit,Kepler-197,,1.12,6004,2014,1
Kepler-348 b,b,0.0123086,0.135605,0.0258721,0.0258721,0.0258721,7.05677,,40.54836944,19.817,,Transit,Kepler-348,,1.359,6177,2014,1
Kepler-341 d,d,0.0136211,0.165046,0.0838612,0.0838612,0.0838612,27.666313,,43.47276944,19.32411111,,Transit,Kepler-341,,1.024,6012,2014,1
HD 128311 c,c,3.24848,,,,,923.8,0.23,9.747125,14.60012222,16.5016,RV,HD 128311,0.828,0.58322,4965.42,2005,1
Kepler-445 d,d,0.00688654,0.114,0.008,0.008,0.008,8.15275,0,46.49833333,19.91573833,90,Transit,Kepler-445,0.18,0.21,3157,2010,1
Kepler-603 b,b,0.0214793,0.236,0.00061,0.07539,0.038,21.05358596,0,42.29097222,19.61873333,967,Transit,Kepler-603,1.01,1.01,5808,2016,1
Kepler-364 c,c,0.0160511,0.19181,0.0374699,0.0374699,0.0374699,59.980627,,47.39868889,18.77133056,,Transit,Kepler-364,,1.284,6108,2014,1
Kepler-299 e,e,0.0137681,0.16683,0.0347935,0.0347935,0.0347935,38.285489,,48.5805,18.88046111,,Transit,Kepler-299,,1.032,5617,2014,1
Kepler-387 c,c,0.00192504,0.0794005,0.0196271,0.0196271,0.0196271,11.837549,,45.65671111,19.18655,,Transit,Kepler-387,,1.046,5774,2014,1
Kepler-54 d,d,0.0125754,0.136497,0.00713712,0.00713712,0.00713712,20.995694,,43.0563,19.6516,,Transit,Kepler-54,,0.554,4252,2014,1
Kepler-102 e,e,0.0280968,0.198037,0.006244,0.006244,0.006244,16.1457,0,47.20777778,18.7655,,Transit,Kepler-102,0.8,0.74,4903,2014,1
Kepler-219 b,b,0.0260126,0.263181,0.0437149,0.0437149,0.0437149,4.585512,,46.76256111,19.24926944,,Transit,Kepler-219,,1.491,5786,2014,1
Kepler-549 c,c,0.0256089,0.261,0.00022,0.07478,0.0375,117.040498,0,47.26113889,18.86818611,648,Transit,Kepler-549,0.88,0.84,5360,2016,1
GJ 876 b,b,1.9469,,,,,61.1166,0.0324,-14.26205833,22.88782222,4.68867,RV,GJ 876,0.32,,,1998,1
Kepler-385 b,b,0.022635,0.243554,0.123115,0.123115,0.123115,10.043686,,50.33653889,19.62256944,,Transit,Kepler-385,,1.126,6326,2014,1
Kepler-374 b,b,0.00324127,0.0918904,0.0481756,0.0481756,0.0481756,1.897806,,42.3705,19.60918889,,Transit,Kepler-374,,0.911,5977,2014,1
Kepler-296 e,e,0.0129124,0.156125,0.0205192,0.0205192,0.0205192,34.142347,,49.43733056,19.10266944,,Transit,Kepler-296,,0.557,4249,2014,1
HD 9446 b,b,0.698769,,,,,30.052,0.2,29.26528056,1.555572222,52.356,RV,HD 9446,1,0.919448,5793,2010,1
Kepler-255 b,b,0.011604,0.138282,0.0553127,0.0553127,0.0553127,5.714606,,45.97683889,19.73761944,,Transit,Kepler-255,,0.933,5573,2014,1
Kepler-197 b,b,0.00313003,0.0909983,0.00356856,0.00356856,0.00356856,5.599308,,50.55898056,19.68176111,,Transit,Kepler-197,,1.12,6004,2014,1
Kepler-183 c,c,0.0171819,0.202516,0.0874297,0.0874297,0.0874297,11.637071,,39.31588889,19.56871944,,Transit,Kepler-183,,0.958,5888,2014,1
Kepler-232 b,b,0.0282863,0.274779,0.131145,0.131145,0.131145,4.431222,,51.12173889,19.72108056,,Transit,Kepler-232,,0.968,5847,2014,1
Kepler-345 c,c,0.00554835,0.107057,0.00624498,0.00624498,0.00624498,9.387427,,45.97101944,19.68191944,,Transit,Kepler-345,,0.623,4504,2014,1
Kepler-152 b,b,0.0235009,0.248907,0.0151664,0.0151664,0.0151664,18.207973,,41.98908056,19.12436944,,Transit,Kepler-152,,0.724,5088,2014,1
HD 69830 b,b,0.0316488,,,,,8.6669998,0.1,-12.62976944,8.306605556,12.4938,RV,HD 69830,0.849,0.921634,5360,2006,1
Kepler-336 d,d,0.0182069,0.211437,0.0428227,0.0428227,0.0428227,20.678772,,41.33138056,19.34918056,,Transit,Kepler-336,,1.304,5867,2014,1
Kepler-353 c,c,0.00893492,0.123115,0.00624498,0.00624498,0.00624498,8.410894,,41.75818056,19.79043889,,Transit,Kepler-353,,0.504,3903,2014,1
Kepler-154 b,b,0.0170837,0.201624,0.0392542,0.0392542,0.0392542,33.040532,,49.89653056,19.3187,,Transit,Kepler-154,,1.001,5690,2014,1
Kepler-804 b,b,0.0142915,0.173,0.0005,0.0345,0.0175,14.37457351,0,44.78513889,19.55815,648,Transit,Kepler-804,1.01,1.05,5817,2016,1
61 Vir c,c,0.0333747,,,,,38.021,0.14,-18.30861111,13.30693611,8.55505,RV,61 Vir,0.942,0.978547,5571,2010,1
Kepler-237 c,c,0.015437,0.185565,0.0981354,0.0981354,0.0981354,8.103636,,40.42183056,18.88143056,,Transit,Kepler-237,,0.725,4861,2014,1
Kepler-317 c,c,0.0127076,0.153448,0.0704791,0.0704791,0.0704791,8.77501,,39.03206111,19.66293056,,Transit,Kepler-317,,0.941,5497,2014,1
Kepler-301 d,d,0.0129124,0.156125,0.0838612,0.0838612,0.0838612,13.751243,,49.23298889,18.9322,,Transit,Kepler-301,,0.9,5815,2014,1
Kepler-148 c,c,0.0397965,0.321171,0.157017,0.157017,0.157017,4.180043,,46.85878889,19.31908056,,Transit,Kepler-148,,0.851,5272,2014,1
Kepler-49 d,d,0.0119197,0.142742,0.00624498,0.00624498,0.00624498,2.576549,,40.59178889,19.48631111,,Transit,Kepler-49,,0.559,4252,2014,1
Kepler-169 b,b,0.00450004,0.100812,0.00713712,0.00713712,0.00713712,3.250619,,40.91931944,19.06666111,,Transit,Kepler-169,,0.763,4997,2014,1
Kepler-303 c,c,0.00464108,0.101704,0.00802926,0.00802926,0.00802926,7.061149,,43.65705,18.8757,,Transit,Kepler-303,,0.485,3944,2014,1
Kepler-168 b,b,0.0107805,0.130252,0.0588813,0.0588813,0.0588813,4.425391,,39.8251,19.64733889,,Transit,Kepler-168,,1.107,6282,2014,1
Kepler-56 b,b,0.0465014,0.342276,,,,10.5034294,,41.87186111,19.58389,,Transit,Kepler-56,1.37,3.14,4931,2011,1
Kepler-238 b,b,0.0127755,0.15434,0.0356856,0.0356856,0.0356856,2.090876,,40.63782222,19.19313889,,Transit,Kepler-238,,1.43,5751,2014,1
Kepler-151 c,c,0.0155228,0.186457,0.0927826,0.0927826,0.0927826,24.674612,,41.02323889,19.47751944,,Transit,Kepler-151,,0.83,5460,2014,1
Kepler-150 b,b,0.00638668,0.111518,0.0169507,0.0169507,0.0169507,3.428054,,40.5209,19.21561111,,Transit,Kepler-150,,0.939,5560,2014,1
Kepler-353 b,b,0.00192504,0.0794005,0.00535284,0.00535284,0.00535284,5.795278,,41.75818056,19.79043889,,Transit,Kepler-353,,0.504,3903,2014,1
HIP 57274 b,b,0.0365708,,,,,8.1352,0.187,30.96021944,11.74471667,25.9202,RV,HIP 57274,0.73,0.68,4640,2012,1
