NAME,COMP,MASS,R,RUPPER,RLOWER,UR,PER,ECC,DEC,RA,DIST,PLANETDISCMETH,STAR,MSTAR,RSTAR,TEFF,DATE,MULT
,,mjupiter,rjupiter,rjupiter,rjupiter,rjupiter,day,,deg,hr,pc,,,msun,rsun,k,,
HD 11964 c,c,0.0770689,,,,,37.910254,0.301733,-10.24183611,1.952727778,32.8515,RV,HD 11964,1.08,1.76025,5372,2007,1
Kepler-79 d,d,0.0189,0.653,0.0118,0.0146,0.0132,52.09059,0.025,44.38158056,20.03448056,,Transit,Kepler-79,,1.403,6189,2014,1
Kepler-344 c,c,0.0260126,0.263181,0.123115,0.123115,0.123115,125.596809,,46.32441111,19.49998056,,Transit,Kepler-344,,0.976,5774,2014,1
HD 60532 b,b,1.0348,,,,,201.3,0.28,-22.29618056,7.567558333,25.2972,RV,HD 60532,1.44,2.35065,6095,2008,1
Kepler-1321 b,b,0.0802404,0.439,0.00093,0.10707,0.054,11.12830484,0,46.64097222,19.63523889,547,Transit,Kepler-1321,0.54,0.53,4094,2016,1
Kepler-406 b,b,0.0199792,0.127576,0.0026764,0.0026764,0.0026764,2.42629,0,44.96822222,19.45653639,,Transit,Kepler-406,1.07,1.07,5538,2014,1
Kepler-171 b,b,0.0178911,0.208761,0.0936747,0.0936747,0.0936747,4.166972,,41.75553889,19.78478889,,Transit,Kepler-171,,0.839,5642,2014,1
Kepler-330 b,b,0.00829825,0.120439,0.0472834,0.0472834,0.0472834,8.25978,,44.80168056,19.22983056,,Transit,Kepler-330,,0.722,5117,2014,1
Kepler-229 b,b,0.0165098,0.196271,0.0695869,0.0695869,0.0695869,6.252972,,48.37578889,19.1333,,Transit,Kepler-229,,0.728,5120,2014,1
Kepler-144 c,c,0.00829825,0.120439,0.0231956,0.0231956,0.0231956,10.104665,,42.77551111,18.79438056,,Transit,Kepler-144,,1.235,6075,2014,1
Kepler-758 e,e,0.0124263,0.136,0.00047,0.05053,0.0255,8.1934719,0,41.13544444,19.538975,1353,Transit,Kepler-758,1.16,1.42,6228,2016,1
HD 20794 b,b,0.00848679,,,,,18.315,0,-43.07155,3.33145,6.04339,RV,HD 20794,0.7,1.22683,5401,2011,1
Kepler-115 c,c,0.0208911,0.231956,0.044607,0.044607,0.044607,8.990889,,45.26192222,19.84746111,,Transit,Kepler-115,,1.205,5979,2014,1
Kepler-320 c,c,0.00871939,0.122223,0.057097,0.057097,0.057097,17.934937,,46.17513056,19.54756944,,Transit,Kepler-320,,1.108,6435,2014,1
Kepler-274 c,c,0.0135483,0.164154,0.089214,0.089214,0.089214,33.197861,,38.47728056,19.52818056,,Transit,Kepler-274,,1.007,6023,2014,1
GJ 832 b,b,0.684002,,,,,3657,0.08,-49.00701667,21.55945,4.95368,RV,GJ 832,0.45,,,2009,1
Kepler-26 e,e,0.0186399,0.215006,0.0133821,0.0133821,0.0133821,46.827915,,46.56653889,18.99606944,,Transit,Kepler-26,,0.571,4486,2014,1
GJ 667 C b,b,0.0174951,,,,,7.1999,0.15,-34.99683333,17.31634389,7.23589,RV,GJ 667 C,0.33,,3350,2011,1
Kepler-254 d,d,0.0196646,0.223035,0.106165,0.106165,0.106165,18.746477,,45.81651111,19.21098056,,Transit,Kepler-254,,0.91,5957,2014,1
Kepler-264 b,b,0.0333072,0.297083,0.0660184,0.0660184,0.0660184,40.806231,,37.37623889,19.46963889,,Transit,Kepler-264,,1.55,6158,2014,1
Kepler-122 c,c,0.115399,0.523686,0.103488,0.103488,0.103488,12.465988,,39.94911111,19.40746111,,Transit,Kepler-122,,1.216,6050,2014,1
Kepler-142 b,b,0.014692,0.177536,0.0347935,0.0347935,0.0347935,2.024152,,48.48128056,19.67458889,,Transit,Kepler-142,,1.269,5790,2014,1
Kepler-148 d,d,0.428344,0.774,0.00078,0.08222,0.0415,51.84688575,0,46.85877778,19.31908056,0,Transit,Kepler-148,0,0.85,5272,2016,1
Kepler-240 c,c,0.0165098,0.196271,0.0794005,0.0794005,0.0794005,7.953528,,40.75026944,19.41058056,,Transit,Kepler-240,,0.739,4985,2014,1
61 Vir b,b,0.016075,,,,,4.215,0.12,-18.30861111,13.30693611,8.55505,RV,61 Vir,0.942,0.978547,5571,2010,1
Kepler-298 b,b,0.014454,0.174859,0.0089214,0.0089214,0.0089214,10.475464,,48.82536111,18.86931944,,Transit,Kepler-298,,0.582,4465,2014,1
Kepler-363 d,d,0.0151834,0.182889,0.0356856,0.0356856,0.0356856,11.932125,,41.30538889,18.87946944,,Transit,Kepler-363,,1.485,5593,2014,1
Kepler-398 d,d,0.00189081,0.079,0.00037,0.00663,0.0035,6.83437001,0,40.34386111,19.43124444,0,Transit,Kepler-398,0,0.61,4493,2016,1
Kepler-1388 b,b,0.020755,0.231,0.00148,0.02252,0.012,12.2854603,0,47.17452778,18.88906944,492,Transit,Kepler-1388,0.63,0.61,4098,2016,1
Kepler-215 d,d,0.0184218,0.213222,0.0490677,0.0490677,0.0490677,30.864423,,45.21368889,19.6649,,Transit,Kepler-215,,1.027,5739,2014,1
Kepler-232 c,c,0.0463015,0.34169,0.165938,0.165938,0.165938,11.379349,,51.12173889,19.72108056,,Transit,Kepler-232,,0.968,5847,2014,1
Kepler-346 b,b,0.0216742,0.237309,0.110625,0.110625,0.110625,6.511127,,46.11761111,19.20078889,,Transit,Kepler-346,,1.021,6033,2014,1
Kepler-330 c,c,0.0143757,0.173967,0.0642341,0.0642341,0.0642341,15.955387,,44.80168056,19.22983056,,Transit,Kepler-330,,0.722,5117,2014,1
mu Ara b,b,1.74552,,,,,643.25,0.128,-51.83358889,17.73575556,15.5111,RV,mu Ara,1.147,1.25035,5784.28,2001,1
TYC 1422-614-1 c,c,10,,,,,559.3,0.048,19.55833333,10.28518722,759,RV,TYC 1422-614-1,1.15,6.85,4806,2015,1
Kepler-1093 c,c,0.0144664,0.175,0.00347,0.08453,0.044,89.722292,0,41.42016667,18.99853333,848,Transit,Kepler-1093,1.13,1.2,6166,2016,1
HD 73526 c,c,2.4209,,,,,377.8,0.14,-41.31949444,8.621258334,100.705,RV,HD 73526,1.014,1.45542,5583.74,2006,1
Kepler-382 c,c,0.011856,0.14185,0.0686948,0.0686948,0.0686948,12.162701,,45.86993056,19.94241111,,Transit,Kepler-382,,0.945,5600,2014,1
Kepler-333 c,c,0.00422638,0.0990276,0.0178428,0.0178428,0.0178428,24.08821,,40.91358889,19.48573889,,Transit,Kepler-333,,0.534,4259,2014,1
Kepler-166 c,c,0.0183139,0.212329,0.109733,0.109733,0.109733,34.260281,,48.88118889,19.54401111,,Transit,Kepler-166,,0.742,5413,2014,1
