STAR,MSINI,MSTAR,HIPP,V,VURL,VREF,TEFF,LOGG,DIST,BMV,J,H,VSINI,RHK,MASSREF,MASSURL,KS,SPECREF,SPECURL,BINARYREF,BINARYURL,NAME,OTHERNAME,COMP,HD,HR,SAO,GL,BINARY,BINARYURL,BINARYREF,RA,DEC,RA_STRING,DEC_STRING,KEPID,KOI,KDE,EOD,MICROLENSING,IMAGING,TIMING,ASTROMETRY,PAR,GAMMA,PER,ECC,OM,K,T0,DVDT,I,A,MASS,SEP,TREND,LAMBDA,BIGOM,DEPTH,T14,TT,R,AR,B,DENSITY,GRAVITY,TRANSIT,TRANSITURL,TRANSITREF,DR,RR,SE,SEURL,SEREF,SEDEPTHJ,SEDEPTHH,SEDEPTHKS,SEDEPTHKP,SEDEPTH36,SEDEPTH45,SEDEPTH58,SEDEPTH80,RMS,CHI2,NOBS,NCOMP,MULT,PLANETDISCMETH,STARDISCMETH,DATE,FIRSTREF,FIRSTURL,ORBREF,ORBURL,RSTAR,RHOSTAR,FE,SHK,KP,JSNAME,EPEURL,ETDNAME,ETDURL,SIMBADNAME,SIMBADURL,EANAME,EAURL
,mjupiter,msun,,,,,k,,pc,,,,km/s,,,,,,,,,,,,,,,,,,,hr,deg,,,,,,,,,,,marcsec,km/s,day,,deg,m/s,jd,m/s/day,deg,au,mjupiter,au,,deg,deg,,day,,rjupiter,,,g/cm^3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rsun,g/cm^3,,,,,,,,,,,
Kepler-84,,1,,,,,5755,4.13,,,13.583,13.234,,,estimated from radius; see EOD documentation,,13.193,,,Furlan 2017,http://adsabs.harvard.edu/abs/2017AJ....153...71F,Kepler-84 b,KOI-1589,b,,,,,1,http://adsabs.harvard.edu/abs/2017AJ....153...71F,Furlan 2017,19.8834697222213,40.49605555534363,19:53:00.491,+40:29:45.8,,1589.01,1,1,0,0,1,0,,,8.726,,,,,,,0.08295,0.0172355,0.08295,0,,,,,,0.203,,,,,1,http://adsabs.harvard.edu/abs/2012arXiv1208.3312X,Xie 2012,,,0,,Predicted,,,,,,,,,,,,5,1,Transit,Transit,2012,Xie 2012,http://adsabs.harvard.edu/abs/2012arXiv1208.3312X,Xie 2013,http://adsabs.harvard.edu/abs/2012arXiv1208.3312X,1.43,,-0.131,,,Kepler-84,http://exoplanet.eu/star.php?st=Kepler-84,Kepler-84 b,http://var2.astro.cz/ETD/etd.php?STARNAME=Kepler-84&PLANET=b,Kepler-84,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-84,,
Kepler-637,,1.64,,,,,6096,3.84,1575,,12.459,12.227,,,estimated from radius; see EOD documentation,,12.182,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Kepler-637 b,,b,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,19.49448333316379,41.4168888888922,19:29:40.14,+41:25:00.8,,659.01,1,1,0,0,0,0,0.634921,,23.20584623,0,90,,,,,0.187767,0.0746947,0.187767,0,,,0.000298253,0.179158,2455013.761,0.424,15.8074,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.01727,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,2.56,,0.38,,13.413,,,,,,,Kepler-637 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-637+b&type=PLANET+HOST
HAT-P-26,0.0586313,0.816,,11.744,,,5079,4.56,134,0.89,10.08,9.685,1.8,-4.992,Calculated from MSINI and I,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,9.581,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...728..138H,,,HAT-P-26 b,2MASS J14123753+0403359,b,,,,,0,,,14.21042694409688,4.060027777353922,14:12:37.537,+04:03:36.1,,,0,1,0,0,0,0,7.46269,,4.234516,0.124,54,8.5,2455304.319,,88.6,0.0478684,0.0586489,0.0478684,0,,,0.00543169,0.1023,2455304.65122,0.565,13.092,0.303,0.4,2.66012,1,http://adsabs.harvard.edu/abs/2011ApJ...728..138H,Hartman 2011,,,0,,,,,,,,,,,2.4,,13,1,0,Transit,Transit,2011,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...728..138H,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...728..138H,0.788,0.4,-0.04,0.182,,HAT-P-26,http://exoplanet.eu/star.php?st=HAT-P-26,HAT-P-26 b,http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-26&PLANET=b,TYC 320-1027-1,http://simbad.harvard.edu/simbad/sim-id?Ident=TYC+320-1027-1,HAT-P-26 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=HAT-P-26+b&type=PLANET+HOST
Kepler-1252,,1.06,,,,,5949,4.38,828,,13.159,12.816,,,estimated from radius; see EOD documentation,,12.69,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Kepler-1252 b,,b,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,19.93002222273085,46.6928055551317,19:55:48.08,+46:41:34.1,,2483.01,1,1,0,0,0,0,1.20773,,15.0540329,0,90,,,,,0.121659,0.0123746,0.121659,0,,,0.000201924,0.17813,2454968.531,0.149,24.0547,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.01421,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,1.09,,0.03,,14.503,,,,,,,Kepler-1252 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-1252+b&type=PLANET+HOST
Kepler-847,,0.83,,,,,4940,4.58,529,,13.24,12.741,,,estimated from radius; see EOD documentation,,12.708,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Kepler-847 b,,b,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,18.90031944443782,49.45102777779103,18:54:01.15,+49:27:03.7,,1434.01,1,1,0,0,0,0,1.89036,,2.3432319,0,90,,,,,0.0324471,0.00518721,0.0324471,0,,,0.00020736,0.084962,2454966.207,0.105,9.08171,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.0144,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.77,,0.15,,14.782,,,,,,,Kepler-847 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-847+b&type=PLANET+HOST
Kepler-1355,,0.88,,,,,5352,4.55,963,,14.18,13.718,,,estimated from radius; see EOD documentation,,13.748,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Kepler-1355 b,,b,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,18.91609444406297,49.06797222216925,18:54:57.94,+49:04:04.7,,2816.01,1,1,0,0,0,0,1.03842,,1.28958811,0,90,,,,,0.0222195,0.0107116,0.0222195,0,,,0.000246176,0.059246,2454964.892,0.13,5.76951,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.01569,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.83,,-0.04,,15.471,,,,,,,Kepler-1355 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-1355+b&type=PLANET+HOST
HD 149143,1.32811,1.2,81022,7.89,,,5884,4.071,62.0347,0.714,6.759,6.535,4,-5.04,Set to MSINI; I unknown,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,6.434,Fischer 2006,http://adsabs.harvard.edu/abs/2006ApJ...637.1094F,,,HD 149143 b,,b,149143,,121678,,0,,,16.54751666704814,2.085038888851802,16:32:51.06,+02:05:06.14,,,0,1,0,0,0,0,16.12,12.2657,4.072,0.016,0,149.6,2453483.9,0.0273973,,0.0530508,1.32811,0.0530508,1,,,,,,,6.67761,,,0,0,,,,,0,,,,,,,,,,,4.72,1.11,17,1,0,RV,RV,2006,Fischer 2006 ; da Silva 2006,http://adsabs.harvard.edu/abs/2006ApJ...637.1094F ; http://adsabs.harvard.edu/abs/2006A%26A...446..717D,Fischer 2006,http://adsabs.harvard.edu/abs/2006ApJ...637.1094F,1.71219,,0.26,0.155,,HD 149143,http://exoplanet.eu/star.php?st=HD+149143,,,HD 149143,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+149143,HD 149143 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=HD+149143+b&type=PLANET+HOST
Kepler-688,,0.98,,,,,5715,4.47,1247,,14.364,13.969,,,estimated from radius; see EOD documentation,,13.924,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Furlan 2017,http://adsabs.harvard.edu/abs/2017AJ....153...71F,Kepler-688 b,,b,,,,,1,http://adsabs.harvard.edu/abs/2017AJ....153...71F,Furlan 2017,19.64368333286709,39.30836111121707,19:38:37.26,+39:18:30.1,,813.01,1,1,0,0,0,0,0.801925,,3.89593684,0,90,,,,,0.0481308,0.696016,0.0481308,0,,,0.00862484,0.097454,2455003.528,0.871,10.8052,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.09287,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.96,,0.02,,15.725,,,,,,,Kepler-688 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-688+b&type=PLANET+HOST
Kepler-713,,0.98,,,,,5785,4.44,1003,,13.802,13.454,,,estimated from radius; see EOD documentation,,13.3,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Kepler-713 b,,b,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,19.71010000016954,43.02983333375719,19:42:36.36,+43:01:47.4,,887.01,1,1,0,0,0,0,0.997009,,7.411141,0,90,,,,,0.0738933,0.019398,0.0738933,0,,,0.00053824,0.10355,2455008.347,0.221,16.0861,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.0232,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.99,,-0.03,,15.031,,,,,,,Kepler-713 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-713+b&type=PLANET+HOST
HD 79498,1.34632,1.06,45406,8.02,,,5740,4.37,46.1042,0.706,6.851,6.574,,-4.66,Set to MSINI; I unknown,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,6.53,Robertson 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...39R,Robertson 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...39R,HD 79498 b,2MASS J09150941+2322323,b,79498,,80717,,1,http://adsabs.harvard.edu/abs/2012ApJ...749...39R,Robertson 2012,9.252633333206177,23.37592777782016,09:15:09.48,+23:22:33.34,,,0,1,0,0,0,0,21.69,20.0232,1966.1,0.59,221,26,2453210.9,,,3.13296,1.34632,3.13296,0,,,,,,,598.509,,,,0,,,,,0,,Predicted,,,,,,,,,5.13,,53,1,0,RV,RV,2012,Robertson 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...39R,Robertson 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...39R,1.12815,,0.24,0.167,,HD 79498,http://exoplanet.eu/star.php?st=HD+79498,,,HD 79498,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+79498,HD 79498 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=HD+79498+b&type=PLANET+HOST
Kepler-722,,1.03,,,,,5863,4.41,1375,,14.261,13.949,,,estimated from radius; see EOD documentation,,13.841,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Kepler-722 b,,b,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,19.35088611112701,44.55644444465637,19:21:03.19,+44:33:23.2,,911.01,1,1,0,0,0,0,0.727273,,4.09357325,0,90,,,,,0.0505771,0.0213319,0.0505771,0,,,0.00050715,0.095233,2455004.01,0.235,10.3812,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.02252,0,,Predicted,,,,,,,,,,,,2,1,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,1.05,,0.02,,15.399,,,,,,,Kepler-722 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-722+b&type=PLANET+HOST
Kepler-556,,1,,,,,5740,4.46,729,,13.039,12.687,,,estimated from radius; see EOD documentation,,12.668,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Furlan 2017,http://adsabs.harvard.edu/abs/2017AJ....153...71F,Kepler-556 b,,b,,,,,1,http://adsabs.harvard.edu/abs/2017AJ....153...71F,Furlan 2017,19.36863055560324,38.94266666624281,19:22:07.07,+38:56:33.6,,444.01,1,1,0,0,0,0,1.37174,,11.72292176,0,90,,,,,0.100994,0.0169068,0.100994,0,,,0.000433889,0.17396,2455010.319,0.2,22.2102,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.02083,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.98,,0.03,,14.112,,,,,,,Kepler-556 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-556+b&type=PLANET+HOST
Kepler-883,,1.06,,,,,6116,4.4,549,,12.05,11.773,,,estimated from radius; see EOD documentation,,11.752,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Furlan 2017,http://adsabs.harvard.edu/abs/2017AJ....153...71F,Kepler-883 b,,b,,,,,1,http://adsabs.harvard.edu/abs/2017AJ....153...71F,Furlan 2017,19.0955777782864,50.30033333334658,19:05:44.08,+50:18:01.2,,1530.01,1,1,0,0,0,0,1.82149,,12.98495573,0,90,,,,,0.110239,0.0131362,0.110239,0,,,0.000218744,0.144038,2454972.782,0.159,21.7967,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.01479,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,1.09,,-0.13,,13.029,,,,,,,Kepler-883 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-883+b&type=PLANET+HOST
Kepler-1181,,1.17,,,,,6176,4.27,867,,12.606,12.385,,,estimated from radius; see EOD documentation,,12.363,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Kepler-1181 b,,b,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,19.31648888905843,39.52347222222222,19:18:59.36,+39:31:24.5,,2303.01,1,1,0,0,0,0,1.1534,,4.89337519,0,90,,,,,0.0594394,0.0117248,0.0594394,0,,,0.000118374,0.13817,2454966.643,0.14,9.85401,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.01088,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,1.3,,0.03,,13.827,,,,,,,Kepler-1181 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-1181+b&type=PLANET+HOST
Kepler-897,,1.03,,,,,5839,4.41,1147,,13.89,13.583,,,estimated from radius; see EOD documentation,,13.466,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Furlan 2017,http://adsabs.harvard.edu/abs/2017AJ....153...71F,Kepler-897 b,,b,,,,,1,http://adsabs.harvard.edu/abs/2017AJ....153...71F,Furlan 2017,19.37245555559794,51.69583333333333,19:22:20.84,+51:41:45.0,,1583.01,1,1,0,0,0,0,0.87184,,8.0472642,0,90,,,,,0.079369,0.0183949,0.079369,0,,,0.000446477,0.188,2454970.209,0.213,16.4475,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.02113,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,1.04,,0.04,,15.068,,,,,,,Kepler-897 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-897+b&type=PLANET+HOST
Kepler-269,,,,,,,5847,4.5,,,14.438,14.14,,,estimated from radius; see EOD documentation,,13.961,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Kepler-269 b,KOI-1127,b,,,,,0,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,19.34768055597941,41.77596944491069,19:20:51.65,+41:46:33.49,,1127.01,1,1,0,0,0,0,,,5.326718,,90,,2455190.12204,,,0.0596916,0.019315,0.0596916,0,,,,0.141125,2455190.12204,0.220359,13.4146,0.62,,,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,,,0,,Predicted,,,,,,,,,,,,2,1,Transit,Transit,2014,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.959,,,,,Kepler-269,http://exoplanet.eu/star.php?st=Kepler-269,,,Kepler-269,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-269,Kepler-269 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-269+b&type=PLANET+HOST
Kepler-248,,,,15.18,,,5190,4.573,,1.03,13.911,13.442,,,estimated from radius; see EOD documentation,,13.36,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Kepler-248 b,KOI-896,b,,,,,0,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,19.53743055555556,43.58136111153497,19:32:14.75,+43:34:52.90,,896.02,1,1,0,0,0,0,,,6.308205,,90,,2455007.04657,,,0.0668155,0.0272098,0.0668155,0,,,,0.125333,2455007.04657,0.269426,17.3284,0.38,,,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,,,0,,Predicted,,,,,,,,,,,,2,1,Transit,Transit,2014,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.831,,,,,Kepler-248,http://exoplanet.eu/star.php?st=Kepler-248,,,Kepler-248,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-248,Kepler-248 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-248+b&type=PLANET+HOST
Kepler-1375,,1.47,,,,,6704,4.11,1238,,12.66,12.459,,,estimated from radius; see EOD documentation,,12.362,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Kepler-1375 b,,b,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,19.7529027777248,43.40327777783076,19:45:10.45,+43:24:11.8,,2869.01,1,1,0,0,0,0,0.807754,,3.3004192,0,90,,,,,0.0493278,0.0128259,0.0493278,0,,,0.0000842724,0.18742,2454966.564,0.155,5.97247,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.00918,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,1.78,,0.09,,13.749,,,,,,,Kepler-1375 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-1375+b&type=PLANET+HOST
Kepler-454,0.0215581,1.028,,11.57,,,5701,4.37,,0.81,10.35,10.02,0,,Calculated from MSINI and I,http://adsabs.harvard.edu/abs/2016ApJ...816...95G,9.968,Gettel 2016,http://adsabs.harvard.edu/abs/2016ApJ...816...95G,Gettel 2016,http://adsabs.harvard.edu/abs/2016ApJ...816...95G,Kepler-454 b,KIC 3102384,b,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...816...95G,Gettel 2016,19.1652347225613,38.22884444448683,19:09:54.845,+38:13:43.84,,273.01,1,1,0,0,0,0,,,10.57,0,90,1.96,2455008.067,0.0429,87.09,0.0951314,0.0215859,0.0951314,0,,,0.000416568,0.0740148,2455008.06758,0.21,19.2331,0.9288,0.00215015,3.07882,1,http://adsabs.harvard.edu/abs/2016ApJ...816...95G,Gettel 2016,,0.02041,0,,Predicted,,,,,,,,,,,99,2,1,Transit,Transit,2016,Gettel 2016,http://adsabs.harvard.edu/abs/2016ApJ...816...95G,Gettel 2016,http://adsabs.harvard.edu/abs/2016ApJ...816...95G,1.066,1.199,0.27,,,Kepler-454,http://exoplanet.eu/star.php?st=Kepler-454,,,KOI-273,http://simbad.harvard.edu/simbad/sim-id?Ident=KOI-273,Kepler-454 c,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-454+c&type=PLANET+HOST
70 Vir,7.46144,1.101,65721,4.97,,,5544.6,4.06791,17.9856,0.714,3.798,3.456,2.68439,-4.98636,Set to MSINI; I unknown,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,3.24,Valenti 2005,http://adsabs.harvard.edu/abs/2005ApJS..159..141V,,,70 Vir b,,b,117176,5072,100582,512.1,0,,,13.47387500021193,13.78018888897366,13:28:25.95,+13:46:48.68,,,0,1,0,0,0,0,55.6,4.88167,116.6884,0.4007,358.71,316.3,2447239.82,,,0.483601,7.46144,0.483601,0,,,,,,,65.2321,,,0,0,,,,,0,,,,,,,,,,,7.4,1,74,1,0,RV,RV,1996,Marcy 1996,http://adsabs.harvard.edu/abs/1996ApJ...464L.147M,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,1.59775,,-0.0122615,0.165349,,70 Vir,http://exoplanet.eu/star.php?st=70+Vir,,,70 Vir,http://simbad.harvard.edu/simbad/sim-id?Ident=70+Vir,70 Vir b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=70+Vir+b&type=PLANET+HOST
HD 102365,0.0509774,0.89,57443,4.89,,,5630,4.57,9.22084,0.68,3.931,3.49,0.7,,Set to MSINI; I unknown,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,3.489,Valenti 2005,http://adsabs.harvard.edu/abs/2005ApJS..159..141V,,,HD 102365 b,2MASS J11463107-4030013,b,102365,4523,223020,,0,,,11.775625,-40.50133333338631,11:46:32.25,-40:30:04.80,,,0,1,0,0,0,0,108.45,16.9111,122.1,0.34,105,2.4,2450129,,,0.463328,0.0509774,0.463328,0,,,,,,,,,,,0,,,,,0,,,,,,,,,,,2.53,1.078,149,1,0,RV,RV,2011,Tinney 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..103T,Tinney 2011,http://adsabs.harvard.edu/abs/2011ApJ...727..103T,0.828702,,-0.26,,,,,,,LHS 311,http://simbad.harvard.edu/simbad/sim-id?Ident=LHS+311,HD 102365 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=HD+102365+b&type=PLANET+HOST
BD -08 2823,0.045941,0.74,49067,9.9889,,,4746,4.13,42.4989,1.071,7.96,7.498,1.4,-4.8,Set to MSINI; I unknown,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,7.323,Hebrard 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..46H,,,BD -08 2823 b,LTT 3669,b,,,137286,,0,,,10.0133166662852,-9.516741666669647,10:00:47.94,-09:31:00.27,,,0,1,0,0,0,0,23.53,,5.6,0.15,30,6.5,2454637.7,,,0.0558236,0.045941,0.0558236,0,,,,,,,9.41001,,,,0,,,,,0,,,,,,,,,,,4.3,3.2,83,2,1,RV,RV,2010,Hebrard 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..46H,Hebrard 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..46H,1.27853,,-0.07,,,BD-082823,http://exoplanet.eu/star.php?st=BD-082823,,,G 162-12,http://simbad.harvard.edu/simbad/sim-id?Ident=G+162-12,BD -08 2823 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=BD+-08+2823+b&type=PLANET+HOST
Kepler-1276,,1.14,,,,,6188,4.33,587,,11.923,11.663,,,estimated from radius; see EOD documentation,,11.639,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Furlan 2017,http://adsabs.harvard.edu/abs/2017AJ....153...71F,Kepler-1276 b,,b,,,,,1,http://adsabs.harvard.edu/abs/2017AJ....153...71F,Furlan 2017,19.19046666675144,40.5471944448683,19:11:25.68,+40:32:49.9,,2555.01,1,1,0,0,0,0,1.70358,,12.5720095,0,90,,,,,0.110538,0.0053608,0.110538,0,,,0.0000855625,0.19654,2454976.082,0.106,19.6883,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.00925,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,1.21,,-0.02,,12.885,,,,,,,Kepler-1276 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-1276+b&type=PLANET+HOST
