STAR,MSINI,MSTAR,HIPP,V,VURL,VREF,TEFF,LOGG,DIST,BMV,J,H,VSINI,RHK,MASSREF,MASSURL,KS,SPECREF,SPECURL,BINARYREF,BINARYURL,NAME,OTHERNAME,COMP,HD,HR,SAO,GL,BINARY,BINARYURL,BINARYREF,RA,DEC,RA_STRING,DEC_STRING,KEPID,KOI,KDE,EOD,MICROLENSING,IMAGING,TIMING,ASTROMETRY,PAR,GAMMA,PER,ECC,OM,K,T0,DVDT,I,A,MASS,SEP,TREND,LAMBDA,BIGOM,DEPTH,T14,TT,R,AR,B,DENSITY,GRAVITY,TRANSIT,TRANSITURL,TRANSITREF,DR,RR,SE,SEURL,SEREF,SEDEPTHJ,SEDEPTHH,SEDEPTHKS,SEDEPTHKP,SEDEPTH36,SEDEPTH45,SEDEPTH58,SEDEPTH80,RMS,CHI2,NOBS,NCOMP,MULT,PLANETDISCMETH,STARDISCMETH,DATE,FIRSTREF,FIRSTURL,ORBREF,ORBURL,RSTAR,RHOSTAR,FE,SHK,KP,JSNAME,EPEURL,ETDNAME,ETDURL,SIMBADNAME,SIMBADURL,EANAME,EAURL
,mjupiter,msun,,,,,k,,pc,,,,km/s,,,,,,,,,,,,,,,,,,,hr,deg,,,,,,,,,,,marcsec,km/s,day,,deg,m/s,jd,m/s/day,deg,au,mjupiter,au,,deg,deg,,day,,rjupiter,,,g/cm^3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rsun,g/cm^3,,,,,,,,,,,
Kepler-1599,,0.99,,,,,5767,4.45,1004,,13.735,13.386,,,estimated from radius; see EOD documentation,,13.361,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Kepler-1599 b,,b,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,19.08139166620042,41.15125,19:04:53.01,+41:09:04.5,,4384.01,1,1,0,0,0,0,0.996016,,122.363553,0,90,,,,,0.48075,0.0120821,0.48075,0,,,0.000214916,0.3883,2454967.333,0.145,104.657,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.01466,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.99,,0.02,,14.945,,,,,,,Kepler-1599 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-1599+b&type=PLANET+HOST
Kepler-20,0.0266149,0.912,,12.51,,,5466,4.4,290,0.9,11.252,10.91,,-4.93,Calculated from MSINI and I,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,10.871,Fressin 2012,http://adsabs.harvard.edu/abs/2012Natur.482..195F,Furlan 2017,http://adsabs.harvard.edu/abs/2017AJ....153...71F,Kepler-20 b,KOI-70,b,,,,,1,http://adsabs.harvard.edu/abs/2017AJ....153...71F,Furlan 2017,19.17986777729458,42.33869444423252,19:10:47.524,+42:20:19.30,,70.02,1,1,0,0,0,0,3.44828,,3.6961219,0,79.2157,3.72,2454966.34,,86.5,0.0453704,0.0266646,0.0453704,0,,,0.000344102,0.0908956,2454967.50027,0.170247,10.3582,0.633,6.5,3.35915,1,http://adsabs.harvard.edu/abs/2012ApJ...749...15G,Gautier 2012,,,0,,,,,,,,,,,,,30,5,1,Transit,Transit,2011,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,Gautier 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...15G,0.944,1.51,0.02,,12.498,Kepler-20,http://exoplanet.eu/star.php?st=Kepler-20,Kepler-20 b,http://var2.astro.cz/ETD/etd.php?STARNAME=Kepler-20&PLANET=b,Kepler-20,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-20,Kepler-20 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-20+b&type=PLANET+HOST
HAT-P-27,0.615135,0.92,,12.2,http://adsabs.harvard.edu/abs/2011PASP..123..555A,Anderson 2011,5190,4.5,204,0.99,10.626,10.249,0.6,,Calculated from MSINI and I,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,10.109,Brown 2012,http://adsabs.harvard.edu/abs/2012ApJ...760..139B,,,HAT-P-27 b,WASP-40,b,,,,,0,,,14.85116361114714,5.947361111111111,14:51:04.189,+05:56:50.5,,,0,1,0,0,0,0,4.90196,,3.039577,0,90,91.2,2455407.9088,,85,0.0399488,0.617485,0.0399488,0,24.2,,0.0143,0.07,2455407.9088,1.02,9.89615,0.87,0.771559,3.1761,1,http://adsabs.harvard.edu/abs/2012ApJ...760..139B,Brown 2012,,0.12,0,,,,,,,,,,,,,44,1,0,Transit,Transit,2011,Anderson 2011,http://adsabs.harvard.edu/abs/2011PASP..123..555A,Brown 2012,http://adsabs.harvard.edu/abs/2012ApJ...760..139B,0.87,1.94304,0.14,,,HAT-P-27/WASP-40,http://exoplanet.eu/star.php?st=HAT-P-27/WASP-40,HAT-P-27/WASP-40 b,http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-27/WASP-40&PLANET=b,HAT-P-27,http://simbad.harvard.edu/simbad/sim-id?Ident=HAT-P-27,HAT-P-27 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=HAT-P-27+b&type=PLANET+HOST
Kepler-181,,,,,,,5333,4.619,,,13.364,12.948,,,estimated from radius; see EOD documentation,,12.88,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Kepler-181 b,KOI-543,b,,,,,0,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,19.7434305551317,50.09581111060249,19:44:36.35,+50:05:44.92,,543.02,1,1,0,0,0,0,,,3.137873,,90,,2454966.5556199998,,,0.0419466,0.00674351,0.0419466,0,,,,0.0786667,2454966.5556199998,0.113302,12.0697,0.16,,,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,,,0,,Predicted,,,,,,,,,,,,2,1,Transit,Transit,2014,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.749,,,,,Kepler-181,http://exoplanet.eu/star.php?st=Kepler-181,,,Kepler-181,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-181,Kepler-181 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-181+b&type=PLANET+HOST
HD 116029,1.9075,1.33,65117,8.04,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,4811,3.21,123.198,1.009,6.144,5.65,0.46,,Set to MSINI; I unknown,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,5.534,Mortier 2013,http://adsabs.harvard.edu/abs/2013arXiv1307.7870M,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,HD 116029 b,2MASS J13203954+2438555,b,116029,,82792,,0,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,13.34431944423252,24.64882500012716,13:20:39.55,+24:38:55.77,,,0,1,0,0,0,0,8.117,-6.92256,670,0,40,36.6,2455220,0.0145205,,1.64869,1.9075,1.64869,1,,,,,,,70.4673,,,,0,,,,,0,,,,,,,,,,,6.9,,21,1,0,RV,RV,2011,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,5.04235,,0.08,0.133,,HD 116029,http://exoplanet.eu/star.php?st=HD+116029,,,HD 116029,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+116029,HD 116029 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=HD+116029+b&type=PLANET+HOST
Kepler-207,,,,,,,5920,4.129,,,12.1,11.841,,,estimated from radius; see EOD documentation,,11.805,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Kepler-207 b,KOI-665,b,,,,,0,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,19.33536944442325,42.16604999966091,19:20:07.33,+42:09:57.78,,665.02,1,1,0,0,0,0,,,1.611865,,90,,2454966.57041,,,0.0269045,0.0117295,0.0269045,0,,,,0.124958,2454966.57041,0.140066,3.65138,0.38,,,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,,,0,,Predicted,,,,,,,,,,,,3,1,Transit,Transit,2014,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,1.588,,,,,Kepler-207,http://exoplanet.eu/star.php?st=Kepler-207,,,Kepler-207,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-207,Kepler-207 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-207+b&type=PLANET+HOST
Kepler-1156,,1,,,,,5778,4.44,759,,13.05,12.752,,,estimated from radius; see EOD documentation,,12.66,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Kepler-1156 b,,b,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,19.26160277790493,46.05763888888889,19:15:41.77,+46:03:27.5,,2246.01,1,1,0,0,0,0,1.31752,,11.89520511,0,90,,,,,0.101981,0.00774372,0.101981,0,,,0.000145926,0.146,2454965.89,0.118,21.9788,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.01208,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,1,,0.02,,14.152,,,,,,,Kepler-1156 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-1156+b&type=PLANET+HOST
Kepler-1512,,0.73,,,,,4372,4.64,162,,11.315,10.75,,,estimated from radius; see EOD documentation,,10.623,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Furlan 2017,http://adsabs.harvard.edu/abs/2017AJ....153...71F,Kepler-1512 b,,b,,,,,1,http://adsabs.harvard.edu/abs/2017AJ....153...71F,Furlan 2017,19.28496666669846,44.47024999989404,19:17:05.88,+44:28:12.9,,3497.01,1,1,0,0,0,0,6.17284,,20.35972599,0,90,,,,,0.13139,0.00518721,0.13139,0,,,0.000263738,0.07985,2454967.291,0.105,42.2639,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.01624,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.67,,0.2,,13.393,,,,,,,Kepler-1512 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-1512+b&type=PLANET+HOST
Kepler-787,,0.65,,,,,4248,4.67,468,,13.937,13.306,,,estimated from radius; see EOD documentation,,13.105,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Kepler-787 b,,b,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,19.44616388850742,38.57291666666667,19:26:46.19,+38:34:22.5,,1202.01,1,1,0,0,0,0,2.13675,,0.9283105,0,90,,,,,0.0161327,0.00688654,0.0161327,0,,,0.00034745,0.054,2454966.803,0.114,5.60786,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.01864,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.62,,-0.09,,15.854,,,,,,,Kepler-787 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-787+b&type=PLANET+HOST
Kepler-528,,1.01,,,,,5807,4.39,711,,12.795,12.488,,,estimated from radius; see EOD documentation,,12.409,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Kepler-528 b,,b,,,,,0,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,19.71232222239176,47.74808333290948,19:42:44.36,+47:44:53.1,,337.01,1,1,0,0,0,0,1.40647,,19.78297415,0,90,,,,,0.143629,0.0154788,0.143629,0,,,0.000320052,0.227754,2455010.723,0.186,29.2023,,,,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,,0.01789,0,,Predicted,,,,,,,,,,,,1,0,Transit,Transit,2016,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,1.06,,0.02,,13.936,,,,,,,Kepler-528 b,http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=Kepler-528+b&type=PLANET+HOST
